Title,Duration,MPA,Rating,grossWorldWide,directors,writers,stars,genres,countries_origin,filming_locations,Languages,release_date
The Princess,1h 34m,R,5.7,41844.0,['Le-Van Kiet'],"['Ben Lustig', 'Jake Thornton']","['Joey King', 'Olga Kurylenko', 'Antoni Davidov']",Drama,['United States'],"['Sofia, Bulgaria']",['English'],2022
The Princess,1h 34m,R,5.7,41844.0,['Le-Van Kiet'],"['Ben Lustig', 'Jake Thornton']","['Joey King', 'Olga Kurylenko', 'Antoni Davidov']",Fantasy,['United States'],"['Sofia, Bulgaria']",['English'],2022
Hotel Transylvania 4: Transformania,1h 27m,PG,6.0,,"['Derek Drymon', 'Jennifer Kluska']","['Amos Vernon', 'Nunzio Randazzo', 'Genndy Tartakovsky']","['Andy Samberg', 'Selena Gomez', 'Kathryn Hahn']",Adventure,['United States'],[],"['English', 'Spanish', 'Ukrainian']",2022
Hotel Transylvania 4: Transformania,1h 27m,PG,6.0,,"['Derek Drymon', 'Jennifer Kluska']","['Amos Vernon', 'Nunzio Randazzo', 'Genndy Tartakovsky']","['Andy Samberg', 'Selena Gomez', 'Kathryn Hahn']",Animation,['United States'],[],"['English', 'Spanish', 'Ukrainian']",2022
Hotel Transylvania 4: Transformania,1h 27m,PG,6.0,,"['Derek Drymon', 'Jennifer Kluska']","['Amos Vernon', 'Nunzio Randazzo', 'Genndy Tartakovsky']","['Andy Samberg', 'Selena Gomez', 'Kathryn Hahn']",Comedy,['United States'],[],"['English', 'Spanish', 'Ukrainian']",2022
Dangerous,1h 39m,,5.4,,['Ram Gopal Varma'],['Ram Gopal Varma'],"['Naina Ganguly', 'Rajpal Naurang Yadav', 'Mithun Purandare']",Action,['India'],[],['Hindi'],2022
Dangerous,1h 39m,,5.4,,['Ram Gopal Varma'],['Ram Gopal Varma'],"['Naina Ganguly', 'Rajpal Naurang Yadav', 'Mithun Purandare']",Crime,['India'],[],['Hindi'],2022
Dangerous,1h 39m,,5.4,,['Ram Gopal Varma'],['Ram Gopal Varma'],"['Naina Ganguly', 'Rajpal Naurang Yadav', 'Mithun Purandare']",Drama,['India'],[],['Hindi'],2022
White Noise,2h 16m,R,5.7,71728.0,['Noah Baumbach'],"['Noah Baumbach', 'Don DeLillo']","['Adam Driver', 'Greta Gerwig', 'Don Cheadle']",Mystery,"['United States', 'United Kingdom']","['Wellington, Ohio, USA']","['English', 'German']",2022
Do Revenge,1h 58m,TV-MA,6.3,,['Jennifer Kaytin Robinson'],"['Celeste Ballard', 'Jennifer Kaytin Robinson']","['Camila Mendes', 'Maya Hawke', 'Austin Abrams']",Dark Comedy,['United States'],"['Atlanta, Georgia, USA']",['English'],2022
Do Revenge,1h 58m,TV-MA,6.3,,['Jennifer Kaytin Robinson'],"['Celeste Ballard', 'Jennifer Kaytin Robinson']","['Camila Mendes', 'Maya Hawke', 'Austin Abrams']",Teen Comedy,['United States'],"['Atlanta, Georgia, USA']",['English'],2022
The Man from Toronto,1h 50m,PG-13,5.8,,['Patrick Hughes'],"['Robbie Fox', 'Chris Bremner', 'Jason Blumenthal']","['Kevin Hart', 'Woody Harrelson', 'Jasmine Mathews']",Action,['United States'],"['Milton, Ontario, Canada']",['English'],2022
The Man from Toronto,1h 50m,PG-13,5.8,,['Patrick Hughes'],"['Robbie Fox', 'Chris Bremner', 'Jason Blumenthal']","['Kevin Hart', 'Woody Harrelson', 'Jasmine Mathews']",Adventure,['United States'],"['Milton, Ontario, Canada']",['English'],2022
The Man from Toronto,1h 50m,PG-13,5.8,,['Patrick Hughes'],"['Robbie Fox', 'Chris Bremner', 'Jason Blumenthal']","['Kevin Hart', 'Woody Harrelson', 'Jasmine Mathews']",Comedy,['United States'],"['Milton, Ontario, Canada']",['English'],2022
What's Love Got to Do with It?,1h 48m,PG-13,6.3,11065050.0,['Shekhar Kapur'],['Jemima Khan'],"['Mim Shaikh', 'Iman Boujelouah', 'Lily James']",Romance,"['United Kingdom', 'France', 'India', 'United States']",[],"['English', 'Urdu', 'Arabic']",2022
Against the Ice,1h 42m,TV-MA,6.5,,['Peter Flinth'],"['Nikolaj Coster-Waldau', 'Joe Derrick', 'Ejnar Mikkelsen']","['Nikolaj Coster-Waldau', 'Joe Cole', 'Heida Reed']",Quest,"['Iceland', 'Denmark']",['Iceland'],['English'],2022
Against the Ice,1h 42m,TV-MA,6.5,,['Peter Flinth'],"['Nikolaj Coster-Waldau', 'Joe Derrick', 'Ejnar Mikkelsen']","['Nikolaj Coster-Waldau', 'Joe Cole', 'Heida Reed']",Survival,"['Iceland', 'Denmark']",['Iceland'],['English'],2022
Rogue Agent,1h 55m,,6.5,192880.0,"['Declan Lawn', 'Adam Patterson']","['Michael Bronner', 'Adam Patterson', 'Declan Lawn']","['James Norton', 'Matthew Douglas', 'Rob Malone']",Adventure,"['United Kingdom', 'Germany', 'United States']","['South Foreland Lighthouse, Dover, Kent, England, UK']",['English'],2022
Rogue Agent,1h 55m,,6.5,192880.0,"['Declan Lawn', 'Adam Patterson']","['Michael Bronner', 'Adam Patterson', 'Declan Lawn']","['James Norton', 'Matthew Douglas', 'Rob Malone']",Drama,"['United Kingdom', 'Germany', 'United States']","['South Foreland Lighthouse, Dover, Kent, England, UK']",['English'],2022
Rogue Agent,1h 55m,,6.5,192880.0,"['Declan Lawn', 'Adam Patterson']","['Michael Bronner', 'Adam Patterson', 'Declan Lawn']","['James Norton', 'Matthew Douglas', 'Rob Malone']",Mystery,"['United Kingdom', 'Germany', 'United States']","['South Foreland Lighthouse, Dover, Kent, England, UK']",['English'],2022
Soft & Quiet,1h 32m,R,6.2,2976.0,['Beth de Araújo'],['Beth de Araújo'],"['Stefanie Estes', 'Olivia Luccardi', 'Dana Millican']",Drama,['United States'],"['Inverness Elementary School, Inverness, California, USA']",['English'],2022
Soft & Quiet,1h 32m,R,6.2,2976.0,['Beth de Araújo'],['Beth de Araújo'],"['Stefanie Estes', 'Olivia Luccardi', 'Dana Millican']",Horror,['United States'],"['Inverness Elementary School, Inverness, California, USA']",['English'],2022
Soft & Quiet,1h 32m,R,6.2,2976.0,['Beth de Araújo'],['Beth de Araújo'],"['Stefanie Estes', 'Olivia Luccardi', 'Dana Millican']",Thriller,['United States'],"['Inverness Elementary School, Inverness, California, USA']",['English'],2022
